
frmWholesaleVoucher                      Form (UI Window)    
frmWholesaleVoucher1                     Form (UI Window)    
frmWholesaleVoucherNew                   Form (UI Window)    
frmYearlyBalance                         Form (UI Window)    
frmYieldChart                            Form (UI Window)    
modity                                   Standard Code Module
rptAankTypeInterest                      Report              
rptAankTypeInterestfrm                   Report              
rptApplicationPartyForForm               Report              
rptApplicationPartyForFormfrm            Report              
rptBalanceSheet                          Report              
rptBalanceSheetfrm                       Report              
rptBalanceSheetGrouped                   Report              
rptBalanceSheetGroupedfrm                Report              
rptBalesSrNoList                         Report              
rptBalesSrNoListfrm                      Report              
rptBardanaPartiesListBCPA                Report              
rptBardanaPartiesListBCPAfrm             Report              
rptBardanaStockReport                    Report              
rptBardanaStockReportfrm                 Report              
rptBikriIssue                            Report              
rptBikriIssuefrm                         Report              
rptBikriVouchersList                     Report              
rptBikriVouchersListfrm                  Report              
rptCashBook                              Report              
rptCashBookfrm                           Report              
rptCFormContents                         Report              
rptCFormContentsfrm                      Report              
rptChallan                               Report              
rptChallanfrm                            Report              
rptChallanVoucher                        Report              
rptChallanVoucherfrm                     Report              
rptChequePrinting                        Report              
rptChequePrintingfrm                     Report              
rptChequePrintingLandscape               Report              
rptChequePrintingLandscapefrm            Report              
rptChequesList                           Report              
rptChequesListfrm                        Report              
rptCottonSaleInvoice                     Report              
rptCottonSaleInvoicefrm                  Report              
rptD2PurchaseList                        Report              
rptD2PurchaseListfrm                     Report              
rptDebitCreditNote                       Report              
rptDebitCreditNotefrm                    Report              
rptDebitCreditNoteGST                    Report              
rptDebitCreditNoteGSTfrm                 Report              
rptFformPurcReport                       Report              
rptFformPurcReportfrm                    Report              
rptFlatTypeInterest                      Report              
rptFlatTypeInterestfrm                   Report              
rptForm16A                               Report              
rptForm16Afrm                            Report              
rptForm16ANew                            Report              
rptForm16ANewfrm                         Report              
rptForm26Q                               Report              
rptForm26QAnnexure                       Report              
rptForm26QAnnexurefrm                    Report              
rptForm26Qfrm                            Report              
rptForm27aTDS                            Report              
rptForm27aTDSfrm                         Report              
rptFormD1                                Report              
rptFormD1frm                             Report              
rptFormIssue                             Report              
rptFormIssuedReport                      Report              
rptFormIssuedReportfrm                   Report              
rptFormIssuefrm                          Report              
rptFormIssueWithCST                      Report              
rptFormIssueWithCSTfrm                   Report              
rptFormLP7urd                            Report              
rptFormLP7urdfrm                         Report              
rptFormsStockReportRaj                   Report              
rptFormsStockReportRajfrm                Report              
rptGatePassVouchers                      Report              
rptGatePassVouchersfrm                   Report              
rptGateRegister                          Report              
rptGateRegisterfrm                       Report              
rptGroupTrialBalance                     Report              
rptGroupTrialBalancefrm                  Report              
rptIFormPrint                            Report              
rptIFormPrintfrm                         Report              
rptJForm                                 Report              
rptJForm1New                             Report              
rptJForm1Newfrm                          Report              
rptJFormfrm                              Report              
rptJrnlBook                              Report              
rptJrnlBookfrm                           Report              
rptLedgerAccount                         Report              
rptLedgerAccounts                        Report              
rptLedgerBook                            Report              
rptLedgerBookfrm                         Report              
rptLetterPad                             Report              
rptLetterPadfrm                          Report              
rptLLFormList                            Report              
rptLLFormListfrm                         Report              
rptLLFormListShort                       Report              
rptLLFormListShortfrm                    Report              
rptLLFormPrint                           Report              
rptLLFormPrintfrm                        Report              
rptMandiTypeInterest                     Report              
rptMandiTypeInterestfrm                  Report              
rptMarketComttCottonForm                 Report              
rptMarketComttCottonFormfrm              Report              
rptMFeeHRDF                              Report              
rptMFeeHRDFfrm                           Report              
rptMformAform                            Report              
rptMformAformfrm                         Report              
rptMilkParchiThermal                     Report              
rptMilkParchiThermalfrm                  Report              
rptMilkPaymentPlan                       Report              
rptMilkPaymentPlanfrm                    Report              
rptMilkPurcSaleRegister                  Report              
rptMilkPurcSaleRegisterfrm               Report              
rptMilkSocietyReport                     Report              
rptMilkSocietyReportfrm                  Report              
rptMktCommttAnnualReports                Report              
rptMktCommttAnnualReportsfrm             Report              
rptMonthlyVATBalance                     Report              
rptMonthlyVATBalancefrm                  Report              
rptMTSlips                               Report              
rptMTSlipsfrm                            Report              
rptNILFormsRaj                           Report              
rptNILFormsRajfrm                        Report              
rptPartiesInterestList                   Report              
rptPartiesInterestListfrm                Report              
